MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
INSTOR_WQX-2019,WAW010-0007,Stream,7,161,21,95.14,1994,2003,40.3911111111,-86.0211111111,IN
INSTOR_WQX-2020,WAW010-0008,Stream,3,26,21,22.666666666666668,1994,1998,40.3919444444,-85.9947222222,IN
INSTOR_WQX-2021,WAW010-0009,Stream,3,25,21,23.333333333333332,1993,1998,40.4022222222,-85.9566666666,IN
INSTOR_WQX-2022,WAW010-0010,Stream,2,28,28,28,1994,1998,40.3483333333,-85.9838888888,IN
INSTOR_WQX-2023,WAW010-0011,Stream,9,120,25,57.22222222222222,1993,2003,40.3627777777,-85.9711111111,IN
INSTOR_WQX-2024,WAW010-0012,Stream,3,25,22,23,1993,1998,40.3486111111,-85.9419444444,IN
INSTOR_WQX-2025,WAW010-0013,Stream,4,50,31,39.5,1993,1998,40.355,-85.9563888888,IN
INSTOR_WQX-2026,WAW010-0014,Stream,8,121,31,64.125,1993,2003,40.3627777777,-85.965,IN
INSTOR_WQX-2027,WAW010-0015,Stream,8,123,28,61.1375,1993,2003,40.3775,-85.9555555555,IN
INSTOR_WQX-2028,WAW010-0016,Stream,8,123,27,62,1993,2003,40.3919444444,-85.9522222222,IN
INSTOR_WQX-2029,WAW010-0017,Stream,11,126,20.9,50.527272727272724,1993,2003,40.4063888888,-85.9466666666,IN
INSTOR_WQX-2030,WAW010-0018,Stream,7,117,24,62,1994,2003,40.3991666666,-85.9402777777,IN
INSTOR_WQX-2031,WAW010-0019,Stream,7,116,25,59,1994,2003,40.4125,-85.9186111111,IN
INSTOR_WQX-2032,WAW010-0020,Stream,2,26,25,25.5,1994,1998,40.4355555555,-85.91,IN
INSTOR_WQX-2033,WAW010-0021,Stream,2,24,24,24,1994,1994,40.4069444444,-85.8558333333,IN
INSTOR_WQX-2034,WAW010-0022,Stream,1,26,26,26,1994,1994,40.4069444444,-85.8488888888,IN
INSTOR_WQX-2035,WAW010-0023,Stream,2,28,25,26.5,1994,1998,40.4186111111,-85.8622222222,IN
INSTOR_WQX-2036,WAW010-0024,Stream,7,126,25,64.41428571428571,1994,2003,40.4266666666,-85.8763888888,IN
INSTOR_WQX-2037,WAW010-0025,Stream,3,25,24,24.333333333333332,1994,1998,40.4333333333,-85.8908333333,IN
INSTOR_WQX-2038,WAW010-0026,Stream,2,30,22,26,1994,1998,40.4213888888,-85.8416666666,IN
INSTOR_WQX-2039,WAW010-0027,Stream,7,126,23,67.28571428571429,1994,2003,40.4238888888,-85.8622222222,IN
INSTOR_WQX-2040,WAW010-0028,Stream,7,136,26,69.85714285714286,1994,2003,40.4316666666,-85.8622222222,IN
INSTOR_WQX-2041,WAW010-0029,Stream,2,27,25,26,1994,1998,40.4327777777,-85.8766666666,IN
INSTOR_WQX-2042,WAW010-0030,Stream,3,28,24,25.333333333333332,1994,1998,40.4338888888,-85.8908333333,IN
INSTOR_WQX-2043,WAW010-0031,Stream,7,123,23,60.91428571428572,1994,2003,40.4355555555,-85.9038888888,IN
INSTOR_WQX-2044,WAW010-0032,Stream,7,122,23,59.857142857142854,1994,2003,40.4408333333,-85.9186111111,IN
INSTOR_WQX-2045,WAW010-0033,Stream,2,25,24,24.5,1994,1998,40.4533333333,-85.9322222222,IN
INSTOR_WQX-2046,WAW040-0001,Stream,251,163,9.7,64.52989800796813,1998,2018,40.315011601,-86.5436185242,IN
INSTOR_WQX-2047,WAW010-0034,Stream,9,330,24,87.55555555555556,1993,2003,40.4711111111,-85.9738888888,IN
INSTOR_WQX-2048,WAW010-0035,Stream,8,167.3,27,94.08125000000001,1993,2003,40.4777777777,-85.9816666666,IN
INSTOR_WQX-2049,WAW010-0036,Stream,7,145.3,18,74.72571428571429,1994,2003,40.4855555555,-86.0511111111,IN
INSTOR_WQX-2050,WAW010-0037,Stream,8,129.2,19,66.8,1994,2003,40.495,-86.07,IN
INSTOR_WQX-2051,WAW010-0038,Stream,2,26,19,22.5,1994,1998,40.4875,-86.0988888888,IN
INSTOR_WQX-2052,WAW010-0039,Stream,2,73,70,71.5,1994,1998,40.5055555555,-86.0883333333,IN
INSTOR_WQX-2053,WAW010-0040,Stream,1,41,41,41,1994,1994,40.5058333333,-86.0888888888,IN
INSTOR_WQX-2054,WAW010-0041,Stream,2,57,34,45.5,1994,1998,40.5019444444,-86.1030555555,IN
INSTOR_WQX-2055,WAW010-0042,Stream,2,64,51,57.5,1994,1998,40.4894444444,-86.1055555555,IN
INSTOR_WQX-2056,WAW010-0043,Stream,2,43,42,42.5,1994,1998,40.4863888888,-86.1058333333,IN
INSTOR_WQX-2057,WAW010-0044,Stream,8,168.7,21,74.7775,1994,2003,40.4838888888,-86.1105555555,IN
INSTOR_WQX-2058,WAW010-0045,Stream,2,27,26,26.5,1994,1998,40.4833333333,-86.1172222222,IN
INSTOR_WQX-2060,WAW010-0047,Stream,3,29,12,23,1994,1998,40.4838888888,-86.1269444444,IN
INSTOR_WQX-2061,WAW010-0048,Stream,6,176.1,27,78.935,1994,2003,40.4838888888,-86.1336111111,IN
INSTOR_WQX-2062,WAW010-0049,Stream,2,30,27,28.5,1994,1998,40.4833333333,-86.1419444444,IN
