MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
1VTDECWQ-501342,Ottauquechee River,Stream,11,33.52,9.03,21.404545454545456,2004,2015,43.6309,-72.5108,VT
1VTDECWQ-501343,Ottauquechee River,Stream,3,20.4,8.54,16.013333333333332,2010,2012,43.6291,-72.5075,VT
1VTDECWQ-501344,Ottauquechee River,Stream,1,24.3,24.3,24.3,2004,2004,43.5875,-72.6586,VT
1VTDECWQ-501345,Ottauquechee River,Stream,1,30.4,30.4,30.4,2007,2007,43.6,-72.7231,VT
1VTDECWQ-501346,Ottauquechee River,Stream,3,44.1,28.4,35.06666666666667,2010,2010,43.6578,-72.7694,VT
1VTDECWQ-501347,Ottauquechee River,Stream,3,39,20.2,28.933333333333334,2010,2010,43.6595,-72.7708,VT
1VTDECWQ-501349,Kedron Brook,Stream,2,18,14.2,16.1,2007,2014,43.6221,-72.5173,VT
1VTDECWQ-501350,Kedron Brook,Stream,20,25.32,5.5,14.6097,2004,2015,43.5653,-72.5275,VT
1VTDECWQ-501351,Kedron Brook,Stream,5,21.99,5.28,13.174,2010,2015,43.565,-72.529,VT
1VTDECWQ-501360,Roaring Brook,Stream,2,65,47.9,56.45,2004,2004,43.6467,-72.7889,VT
1VTDECWQ-501361,Roaring Brook,Stream,2,54.2,38.96,46.58,2007,2014,43.6349,-72.7894,VT
1VTDECWQ-501362,Roaring Brook,Stream,2,34.6,32.1,33.35,2004,2014,43.6297,-72.7994,VT
1VTDECWQ-501363,East Trib Roaring Brook,Stream,3,55.9,35.6,45.166666666666664,2004,2014,43.6322,-72.7878,VT
1VTDECWQ-501371,Little Otter Creek,Stream,401,33.3,3.75,13.897700748129676,1990,2017,44.2042,-73.2519,VT
1VTDECWQ-501372,Kent Pond Outlet,Stream,1,37.9,37.9,37.9,2003,2003,43.6792,-72.79,VT
1VTDECWQ-501377,White River,Stream,2,11.7,11.1,11.399999999999999,2006,2014,43.7925,-72.4947,VT
1VTDECWQ-501378,White River,Stream,5,10.4,6.9,9.244,2004,2014,43.8262,-72.5709,VT
1VTDECWQ-501379,White River,Stream,2,6.7,5.46,6.08,2004,2007,43.8119,-72.6508,VT
1VTDECWQ-501380,White River,Stream,2,5.35,4.43,4.89,2007,2008,43.768,-72.7096,VT
1VTDECWQ-501381,White River,Stream,3,3.98,2.48,3.19,2010,2011,43.7667,-72.7439,VT
1VTDECWQ-501382,White River,Stream,23,11,2.57,5.721086956521739,2004,2017,43.771,-72.7463,VT
1VTDECWQ-501383,White River,Stream,2,6.78,6.09,6.4350000000000005,2006,2014,43.8647,-72.8106,VT
1VTDECWQ-501387,Jericho Brook,Stream,1,14,14,14,2006,2006,43.6894,-72.3981,VT
